vehicle_length_m,footway_length_m,footway_ratio,signal_count,crossing_count,vehicle_intersection_count,vehicle_footway_intersection_count,signal_nearest_m,crossing_nearest_m,primary_ratio,secondary_ratio,tertiary_ratio,residential_ratio,service_ratio,unclassified_ratio,trunk_ratio,cell_id,accident_count
146.54600970848327,646.0574166951194,4.378684438647844,0,0,0,0,1412.3183922937937,2895.94692937361,0.0,0.0,0.0,0.0,0.0,0.0,0.9932224531047924,500m_25058_7939,0
901.5668724789737,341.4607443766041,0.37832182277946264,0,0,2,0,947.5306152176178,3035.6958116104465,0.0,0.0,0.0,0.0,0.0,0.0,0.9988920488547808,500m_25058_7940,0
637.0618923259977,1158.3569662249945,1.8154304153822876,0,0,2,1,550.2208005973328,3247.483195977743,0.0,0.2533129899191521,0.0,0.0,0.0,0.0,0.7451197640001357,500m_25058_7941,0
590.8204186188258,256.9373907075312,0.43414756001012034,0,0,0,0,457.63438367020154,3518.323856658773,0.0,0.0,0.0,0.0,0.0,0.0,0.9983102982449747,500m_25058_7942,0
0.0,457.7288858942289,457.7288858942289,0,0,0,0,786.0490861882755,3835.7288769101797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25058_7943,0
0.0,361.4642986032897,361.4642986032897,0,0,0,0,1847.5643375876912,2338.6072748912234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25059_7938,0
0.0,300.20732535746,300.20732535746,0,0,0,0,1347.1887572518037,2407.574189494031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25059_7939,0
36.59337901464515,433.742827560993,11.537745180927232,0,0,0,0,847.4070755078666,2574.0047756332187,0.0,0.0,0.0,0.0,0.0,0.0,0.9733995712486916,500m_25059_7940,0
577.284892005751,314.04145680740874,0.5430566510533802,0,0,2,2,350.76714981356633,2820.699435843636,0.0,0.856706425295817,0.0,0.0,0.0,0.0,0.14156432323345616,500m_25059_7941,0
1741.1285662577543,58.209828769260895,0.033413049930236055,1,0,10,2,172.435706767112,3128.7293978667776,0.0,0.0,0.0,0.34430133993522194,0.0,0.0,0.6551246496160849,500m_25059_7942,0
0.0,527.9296850453504,527.9296850453504,0,0,0,0,1356.593816224538,3481.854046066305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25059_7943,0
0.0,657.4394275110772,657.4394275110772,0,0,0,0,1932.52898107364,1838.4398915240154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25060_7938,0
0.0,246.91429991823006,246.91429991823006,0,0,0,0,1461.5312662216131,1925.4373564098355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25060_7939,0
0.0,259.2566994796361,259.2566994796361,0,0,0,0,1019.429574855154,2129.9094854242326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25060_7940,0
385.3874879404524,135.7541221604102,0.3513419207335507,0,0,2,0,666.4512814337028,2422.287646558893,0.0,0.9974119244768244,0.0,0.0,0.0,0.0,0.0,500m_25060_7941,0
1121.6174402395584,111.31708159631417,0.09915851794762774,0,0,3,0,592.3137677356032,2774.9230787849965,0.0,0.3057669941271478,0.0,0.2105621148879043,0.0,0.0,0.48278011558439243,500m_25060_7942,0
0.0,0.0,0.0,0,0,0,0,861.9102594309968,3167.755730420126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25060_7943,0
0.0,0.0,0.0,0,0,0,0,3042.9110959121986,1625.378425184751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25061_7936,0
0.0,0.0,0.0,0,0,0,0,2580.145635396029,1402.097522729283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25061_7937,0
0.0,120.64124516634556,120.64124516634556,0,0,0,0,2134.6551700879672,1338.528121447423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25061_7938,0
0.0,571.0783849610541,571.0783849610541,0,0,0,0,1719.9161385409977,1455.7455928296326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25061_7939,0
0.0,589.3282047878237,589.3282047878237,0,0,0,0,1364.2682966153284,1717.1169327260602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25061_7940,0
125.42437967149111,441.8716228450477,3.4951456672616,0,0,0,0,1125.2120154833526,2068.7057598268184,0.0,0.9920901332274799,0.0,0.0,0.0,0.0,0.0,500m_25061_7941,0
1391.1335342914304,361.1824246065308,0.2594452440874257,0,0,1,2,1082.928348289504,2472.317558749522,0.0,0.37720691800203404,0.0,0.18998707546178334,0.04105313744849398,0.0,0.39103454719157166,500m_25061_7942,1
84.56848114269873,1163.257761270175,13.594465458961016,0,0,0,0,382.32451825643096,2906.358947607859,0.0,0.0,0.9883134538951048,0.0,0.0,0.0,0.0,500m_25061_7943,0
0.0,0.0,0.0,0,0,0,0,3253.0681414928704,1246.8148545602332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25062_7936,0
0.0,0.0,0.0,0,0,0,0,2824.9284930708154,937.3533296806952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25062_7937,0
0.0,0.0,0.0,0,0,0,0,2424.8190193049404,839.3288287252042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500m_25062_7938,0
446.3132123114934,0.0,0.0,0,0,0,0,2069.0652936658666,1015.9095115954862,0.0,0.9977644299956344,0.0,0.0,0.0,0.0,0.0,500m_25062_7939,0
