cell_id,n_points,sightline_mean_of_mean,sightline_mean_of_min,sightline_worst_min,sightline_mean_of_std,sightline_mean_open_fraction
500m_25186_7894,8,19.880467611126612,5.096773455799436,1.9441887703580663,14.387936427887812,0.34375
500m_25181_7928,8,20.901791881443938,6.545333682709804,2.0955194172147458,12.978513464023322,0.4305555555555556
500m_25200_7941,8,16.21382299883759,3.7787422016826797,1.68781761555556,13.297516485671766,0.2743055555555556
500m_25192_7937,8,29.756002785032447,12.831994045055431,3.3584141984174494,12.533917988005719,0.6145833333333333
500m_25171_7914,8,14.83343864230132,3.7450936213144597,2.134156035647602,12.298684098258397,0.23263888888888887
500m_25174_7919,8,16.553689604918276,4.206732197170943,1.613683818023444,13.294635014543221,0.2847222222222222
500m_25219_7927,8,21.539381621648943,4.913542658622164,1.5947082322976114,15.556941429734026,0.39583333333333337
500m_25185_7934,8,15.84700716172518,3.865745817243633,2.323868485663896,12.57607932076771,0.2534722222222222
500m_25204_7947,8,23.473658710508083,6.591009391371222,2.7639817710065,15.109045000471259,0.4722222222222222
500m_25177_7930,8,18.663192841264795,4.954709906450084,2.1040538002264793,13.28647963945218,0.3333333333333333
500m_25196_7943,8,19.344471567300207,7.255563292363684,2.0662356318340365,11.602714111124083,0.3402777777777778
500m_25216_7921,8,24.08876444092997,7.551111208571188,1.8295419819956948,13.92673404853015,0.4965277777777778
500m_25189_7904,8,16.14565404103036,2.8952355079267766,1.6474886948505842,14.309247561656615,0.3090277777777778
500m_25208_7917,8,42.24026873543441,21.004101308235825,8.115109662176605,10.458476789821201,0.8819444444444444
500m_25166_7920,8,22.998608755700907,6.279520765389041,1.8186516197802034,13.989865544522566,0.42013888888888884
500m_25178_7931,8,14.955960621290226,4.042571517314281,2.6597337080127335,11.883700437330946,0.26388888888888884
500m_25211_7928,8,32.21493828527364,11.805179430943756,1.3649355325918848,12.016948797915987,0.6631944444444444
500m_25190_7905,8,22.938088787347507,6.539460101830702,0.8038011950902463,12.655257861076464,0.4375
500m_25182_7901,8,18.688794446790634,5.287654716667383,1.6272620439966448,13.288629520961695,0.33333333333333337
500m_25193_7910,8,39.174143383960256,14.824791198385713,2.7749405935246996,13.52735039061772,0.8055555555555556
